GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-23 23:00:00,2.43333,12.07863,6.23385,7.21913,0.1808,10.8012,0.031,8.55405,0.02797,0.02083,0.00046,0,6.33,16.57,16.93998
2026-05-24 00:00:00,2.43333,11.53216,6.24919,7.21913,0.1808,11.10124,0.031,8.54657,0.02796,0.02082,0.00046,0,6.15,16.57,16.93998
2026-05-24 01:00:00,2.45139,10.93622,6.23385,7.20524,0.1808,11.7013,0.031,8.53247,0.02795,0.02081,0.00046,0,5.95,16.58,16.93998
2026-05-24 02:00:00,2.45139,10.27364,6.18794,7.19137,0.1852,12.00134,0.03034,8.52147,0.02794,0.0208,0.00046,0,5.72,16.58,16.93998
2026-05-24 03:00:00,2.45139,9.74127,6.15738,7.19137,0.18302,11.60129,0.03034,8.52177,0.02793,0.02078,0.00046,0,5.53,16.58,16.93998
2026-05-24 04:00:00,2.45139,9.27223,6.12686,7.17751,0.18302,9.72108,0.0297,8.53371,0.02792,0.02077,0.00046,0,5.36,16.58,16.93998
2026-05-24 05:00:00,2.45139,9.01457,6.08118,7.16367,0.18302,7.12079,0.0297,8.55131,0.02791,0.02076,0.00046,0,5.27,16.58,16.93998
2026-05-24 06:00:00,2.45139,9.30104,6.03559,7.14984,0.17645,3.6204,0.0297,8.56454,0.0279,0.02075,0.00046,0,5.37,16.58,16.93998
2026-05-24 07:00:00,2.45139,10.02018,5.99011,7.13603,0.1808,1.35015,0.0297,8.56322,0.02789,0.02074,0.00046,0,5.63,16.58,16.93998
2026-05-24 08:00:00,2.45139,10.96573,5.97497,7.12222,0.17645,-0.13502,0.02906,8.54749,0.02788,0.02072,0.00046,0,5.96,16.58,16.93998
2026-05-24 09:00:00,2.45139,12.07863,5.95984,7.12222,0.1808,0.019,0.02906,8.52435,0.02787,0.02071,0.00046,0,6.33,16.58,16.93998
2026-05-24 10:00:00,2.46956,12.92255,5.94472,7.09468,0.17645,2.46027,0.02906,8.49473,0.02787,0.0207,0.00046,0,6.61,16.59,16.93998
2026-05-24 11:00:00,2.45139,13.13566,5.99011,7.09468,0.17861,6.72075,0.02906,8.45785,0.02786,0.02069,0.00046,0,6.68,16.58,16.93998
2026-05-24 12:00:00,2.45139,12.8316,6.03559,7.09468,0.17645,7.86088,0.02906,8.4157,0.02785,0.02068,0.00046,0,6.58,16.58,16.93998
2026-05-24 13:00:00,2.46956,12.47008,6.09639,7.08093,0.18302,9.79109,0.02844,8.37511,0.02784,0.02067,0.00046,0,6.46,16.59,16.93998
2026-05-24 14:00:00,2.46956,12.01744,6.12686,7.10844,0.1808,10.50117,0.02844,8.34174,0.02783,0.02066,0.00046,0,6.31,16.59,16.93998
2026-05-24 15:00:00,2.46956,11.47203,6.12686,7.09468,0.1808,10.8012,0.02844,8.31429,0.02782,0.02065,0.00046,0,6.13,16.59,16.93998
2026-05-24 16:00:00,2.48786,10.99527,6.12686,7.10844,0.17861,10.60118,0.02844,8.30043,0.02781,0.02064,0.00046,0,5.97,16.6,16.95002
2026-05-24 17:00:00,2.46956,10.55797,6.11162,7.09468,0.17861,9.11101,0.02784,8.30765,0.0278,0.02063,0.00046,0,5.82,16.59,16.95002
